,회사명,거래소코드,회계년도,배당금_현금,상장협 산업분류 코드(중분류),자산,장기차입금,매출액,영업활동으로 인한 현금흐름,매출액증가율,총자산자연로그,배당금지급_여부,산업매출액증가율,WW지수
1621,(주)지에스이,053050,2022,1199504.0,43500,204667.0,15365.0,172618.0,17835.0,0.341211937561673,12.229139547124339,1,0.3656266560678325,-58.10839836706035
1623,(주)지엔씨에너지,119850,2022,793169.0,32800,170765.0,0.0,148546.0,-30656.0,0.013827463827463828,12.04804362130525,1,0.5706567175606515,-51.80544329903718
1625,(주)지엔코,065060,2022,0.0,31400,226964.0,900.0,143276.0,-5415.0,0.05809805847469518,12.332546693578397,0,0.1681073452703214,-52.52641489853412
1627,(주)지오엘리먼트,311320,2022,630728.0,32600,53111.0,0.0,28636.0,2698.0,0.3195097226062114,10.880139342084975,1,0.06811149574196777,-54.958433229763855
1629,(주)지티지웰니스,219750,2022,0.0,32700,35521.0,4200.0,6234.0,664.0,-0.6024234693877552,10.477879349862967,0,0.175691303856638,-42.12393970046788
1631,(주)진로발효,018120,2022,2977994.0,31100,93024.0,84.0,99587.0,-2176.0,0.1022967513420776,11.440612803358603,1,0.1627485045513654,-55.021938436145454
1633,(주)진매트릭스,109820,2022,0.0,137000,31902.0,0.0,11214.0,-1023.0,-0.07368247150173468,10.370423982732394,0,0.05575074822007892,-44.51150995096811
1635,(주)진바이오텍,086060,2022,0.0,74600,64041.0,2329.0,82759.0,-3679.0,0.3175247556277263,11.06727878222921,0,0.22369243083476922,-46.926556193806945
1637,(주)진성티이씨,036890,2022,5989287.0,32900,402669.0,14820.0,541014.0,33271.0,0.23427875270347961,12.905870163493985,1,0.12395095719486701,-63.216113512416236
1639,(주)진시스템,363250,2022,0.0,32700,41183.0,3000.0,3653.0,-6417.0,-0.7240311248772381,10.625780828826777,0,0.175691303856638,-40.85636751153946
1641,(주)차바이오텍,085660,2022,0.0,32100,1607008.0,286738.0,844583.0,-20631.0,0.1609771318916363,14.289884622927545,0,0.10024222681444007,-61.924912050871605
1643,(주)차백신연구소,261780,2022,0.0,137000,61069.0,0.0,179.0,-5189.0,-0.642,11.019759651431075,0,0.05575074822007892,-44.898062741409625
1645,(주)창해에탄올,004650,2022,3793676.0,31100,195085.0,2858.0,109430.0,3116.0,0.1282490127950016,12.181190640006093,1,0.1627485045513654,-58.70066053890547
1647,(주)천보,278280,2022,4965000.0,32000,818656.0,19750.0,328859.0,65570.0,0.21091468780723105,13.615419250180217,1,0.23511295413395092,-65.12609336617203
1649,(주)청담글로벌,362320,2022,0.0,74600,98232.0,3392.0,216298.0,1619.0,0.49844819464072937,11.495087306840349,0,0.22369243083476922,-50.11875664648421
1651,(주)체리부로,066360,2022,0.0,31000,276733.0,15279.0,402390.0,14984.0,0.10678361897531954,12.530808421403211,0,0.201833750952889,-53.827379219942905
1653,(주)초록뱀미디어,047820,2022,0.0,105900,481910.0,18163.0,192542.0,6450.0,0.2912748977265106,13.085512653606315,0,0.28411202943358577,-55.740423537517415
1655,(주)초록뱀이앤엠,131100,2022,0.0,74600,157995.0,0.0,58743.0,2351.0,2.0692826166466376,11.970318665938752,0,0.22369243083476922,-57.765638475207616
1657,(주)초록뱀컴퍼니,052300,2022,0.0,74600,668872.0,84563.0,214716.0,6325.0,2.461988681253124,13.413347990460583,0,0.22369243083476922,-65.17458514732853
1659,(주)칩스앤미디어,094360,2022,1839971.0,32600,63076.0,0.0,24093.0,15177.0,0.20585585585585586,11.052095627525478,1,0.06811149574196777,-57.04457092089691
1661,(주)카나리아바이오,016790,2022,0.0,31000,271272.0,8370.0,158096.0,-2541.0,0.4332493246060958,12.510877286538676,0,0.201833750952889,-54.3554941542383
1663,(주)카스,016920,2022,245743.0,74600,174809.0,3206.0,168363.0,3201.0,0.04865743595493021,12.071449228292328,1,0.22369243083476922,-57.33113466946086
1665,(주)카이노스메드,284620,2022,0.0,137000,38982.0,0.0,130.0,-11296.0,-0.9217809867629362,10.570855280108585,0,0.05575074822007892,-40.07992175960442
1667,(주)카카오게임즈,293490,2022,0.0,105800,3873942.0,608969.0,1147693.0,133825.0,0.13354522208317984,15.169783151231426,0,0.09154042760427497,-66.26498847353302
1669,(주)캐리소프트,317530,2022,0.0,105900,14947.0,0.0,10088.0,-1122.0,0.5088244092132815,9.612265889785814,0,0.28411202943358577,-40.49381904970409
1671,(주)캐스텍코리아,071850,2022,0.0,33000,257878.0,9969.0,182019.0,-1394.0,0.28868482909008525,12.460241883849267,0,0.17408855123907996,-53.929385078607574
1673,(주)캠시스,050110,2022,0.0,32600,351234.0,6000.0,733703.0,26238.0,0.3943000592912416,12.769207946991163,0,0.06811149574196777,-57.513745647772694
1675,(주)커넥트웨이브,119860,2022,0.0,105800,978031.0,3027.0,452615.0,52225.0,1.3697244488191038,13.793296645856117,0,0.09154042760427497,-65.03025170043547
1677,(주)컴투스,078340,2022,15454153.0,105800,1908358.0,4547.0,717137.0,-5047.0,0.2836251814541751,14.461753744417123,1,0.09154042760427497,-69.86162202209616
1679,(주)컴투스홀딩스,063080,2022,0.0,105800,589117.0,0.0,116230.0,-5914.0,-0.17889412446221556,13.286380084672766,0,0.09154042760427497,-56.80887792386816
1681,(주)케스피온,079190,2022,0.0,32600,51656.0,4074.0,55574.0,-617.0,0.426803594351733,10.852361634306304,0,0.06811149574196777,-48.27514988149937
1683,(주)케어랩스,263700,2022,0.0,137100,180659.0,37766.0,87607.0,-6240.0,-0.06735580301062448,12.10436655542891,0,0.5009612897653474,-47.16035033682661
1685,(주)케어젠,214370,2022,26510003.0,32100,234070.0,0.0,69098.0,-27681.0,0.16940834010289738,12.36337549490395,1,0.10024222681444007,-59.09314924972223
1687,(주)케이비지,318000,2022,1097457.0,32000,43074.0,0.0,24346.0,1670.0,-0.10495937649351127,10.670674845804538,1,0.23511295413395092,-50.73827081242271
1689,(주)케이사인,192250,2022,2092769.0,105800,139102.0,49845.0,43187.0,10139.0,0.15844957081545064,11.842962755953389,1,0.09154042760427497,-57.84068502973532
1691,(주)케이씨씨건설,021320,2022,2991815.0,64100,1198128.0,11600.0,1893078.0,-78227.0,0.38792271062673894,13.996270896691275,1,0.19444037847982112,-66.5435495666658
1693,(주)케이씨아이,036670,2022,2690050.0,32000,123130.0,0.0,109605.0,13003.0,0.344830124783745,11.720995986786917,1,0.23511295413395092,-57.54213052989575
1695,(주)케이씨에스,115500,2022,1680000.0,106200,39043.0,0.0,41688.0,3296.0,0.054084806189789884,10.572418881836954,1,0.09091079167796637,-52.748869481883496
1697,(주)케이씨티,089150,2022,1029000.0,106200,53624.0,0.0,14567.0,2481.0,0.057188475215908266,10.889752008037794,1,0.09091079167796637,-53.80880445662621
1699,(주)케이씨피드,025880,2022,789257.0,31000,97229.0,1821.0,88477.0,846.0,0.16812114650858825,11.48482429985932,1,0.201833750952889,-55.30279589438155
1701,(주)케이아이엔엑스,093320,2022,2902102.0,106300,197438.0,9071.0,110928.0,34566.0,0.313379114373668,12.193179889988212,1,0.09516924758647155,-61.472772061295046
1703,(주)케이에스피,073010,2022,0.0,32900,60398.0,0.0,63669.0,-5413.0,0.4527346156478883,11.008711270791892,0,0.12395095719486701,-47.94303920929563
1705,(주)케이에이치바텍,060720,2022,6803233.0,32600,344761.0,0.0,363915.0,38849.0,0.07083270804459707,12.75060670232564,1,0.06811149574196777,-62.88126983102516
1707,(주)케이엑스이노베이션,122450,2022,6994005.0,106000,879067.0,263663.0,326266.0,60168.0,0.12914735818431627,13.68661639674315,1,0.30522622475460137,-63.75280899585618
1709,(주)케이엑스하이텍,052900,2022,0.0,32200,187325.0,7268.0,156411.0,13842.0,0.4910912609512188,12.140600355232511,0,0.0634554390446139,-55.081163849892256
1711,(주)케이엔더블유,105330,2022,0.0,32600,142812.0,15825.0,99582.0,14593.0,0.38631807550952224,11.86928435897044,0,0.06811149574196777,-53.57939409192709
1713,(주)케이엔엔,058400,2022,2648594.0,106000,222951.0,0.0,65960.0,2675.0,0.015112807411739359,12.314707295356172,1,0.30522622475460137,-57.43348261676021
1715,(주)케이엔제이,272110,2022,0.0,32900,108097.0,29793.0,62314.0,10551.0,0.33976908688267293,11.590784251160798,0,0.12395095719486701,-51.233775940069926
1717,(주)케이엘넷,039420,2022,1766093.0,106100,60766.0,0.0,50303.0,8393.0,0.013478663819156224,11.014785701011421,1,0.14596436257172007,-54.48028792156613
1719,(주)케이엠,083550,2022,521073.0,31300,184766.0,4467.0,151649.0,12200.0,0.05866132387640842,12.126845438578847,1,0.081271260376553,-59.484565127994614
1721,(주)케이엠더블유,032500,2022,0.0,32600,345864.0,8561.0,179462.0,-6858.0,-0.12525407123255622,12.753800913186307,0,0.06811149574196777,-54.751176965333215
1723,(주)케이옥션,102370,2022,937445.0,74600,217552.0,40000.0,27716.0,-7221.0,-0.27634464751958226,12.290193181395468,1,0.22369243083476922,-56.339818566931044
1725,(주)케이지모빌리언스,046440,2022,8162665.0,105800,474189.0,30000.0,276117.0,-9249.0,-0.09902305001566253,13.069361255381082,1,0.09154042760427497,-62.11454365306176
