,회사명,거래소코드,회계년도,누적수익성비율,TMD,abs(영업현금흐름-당기순이익)/매출액,순운전자본비율,금융비용부담률,WW지수
230,(주)바이오스마트,38460,2022,0.133184081,2.16583732,0.019067332,-0.65,1,-57.6742831
231,(주)바이오에프디엔씨,251120,2022,0.270665357,0.040980363,0.078082624,65.91,-2.87,-49.30973189
233,(주)바이오톡스텍,86040,2022,0.096754177,0.68124416,0.075646251,-8.27,3.76,-50.99480831
234,(주)바텍,43150,2022,0.654801082,0.303109729,0.11459388,33.16,-0.27,-63.38893759
236,(주)배럴,267790,2022,0.092723152,0.311294691,0.097155027,32.29,3.55,-47.8978312
237,(주)백금티앤에이,46310,2022,0.110718186,0.75724943,0.003983659,55.95,0.01,-51.33281176
239,(주)버킷스튜디오,66410,2022,-0.181877328,1.352587677,4.033484143,-21.4,15.3,-55.86884001
240,(주)베노홀딩스,206400,2022,-0.564995458,0.452041399,1.229022343,18.83,13.21,-46.53148509
241,(주)베셀,177350,2022,-0.020144854,0.59770476,0.192734772,-12.26,3.41,-50.67546785
242,(주)베스파,299910,2022,-32.52070604,0.417903612,0.317028655,-656.78,6.5,-9.775361575
243,(주)보광산업,225530,2022,0.419475271,0.276428792,0.075476444,20.43,0.51,-58.88657892
244,(주)보라티알,250000,2022,0.441038078,0.375023311,0.211725587,32.93,-1.34,-55.45022994
245,(주)본느,226340,2022,0.078347006,1.058528117,0.075955204,-9.78,4.23,-47.26442257
246,(주)부-스타,8470,2022,0.694723279,0.428057928,0.006835746,44.3,-0.64,-53.49567165
247,(주)부방,14470,2022,0.307659953,1.423868338,0.08579178,-12.57,-0.87,-51.54504215
248,(주)뷰노,338220,2022,-1.817768104,0.234984121,0.074924471,27.52,1.7,-50.3467933
249,(주)뷰웍스,100120,2022,0.766976759,0.262272811,0.117493034,39.29,0.38,-60.48980912
250,(주)브랜드엑스코퍼레이션,337930,2022,0.223194978,0.235613296,0.015436683,43.66,-0.09,-57.82921473
251,(주)브리지텍,64480,2022,0.460177624,0.378217675,0.02557011,29.18,-0.55,-55.27950602
252,(주)브이씨,365900,2022,0.20366919,0.827803982,0.170966436,-4.06,0.52,-48.12656448
253,(주)브이원텍,251630,2022,0.358525309,0.823544588,0.052088386,21.02,0.36,-58.2393476
254,(주)브이티지엠피,18290,2022,0.225993104,0.651506377,0.169887738,9.08,1.06,-54.17712914
255,(주)블레이드엔터테인먼트,44480,2022,-0.435479379,1.359073873,0.289632467,15.58,3.88,-59.42227678
256,(주)블루콤,33560,2022,0.714313414,0.237000158,0.071087379,13.37,0.02,-52.00553996
257,(주)블리츠웨이,369370,2022,-0.067132783,0.137374535,0.007102569,20.09,1.53,-46.02199908
258,(주)비덴트,121800,2022,0.200852527,1.046217514,11.2382455,-0.08,66.33,-58.29897668
259,(주)비보존제약,82800,2022,-1.363059538,0.544902296,0.60797061,-16.17,5.14,-52.63741957
260,(주)비스토스,419540,2022,0.046199629,0.09054888,0.156699912,68.94,-0.16,-42.14674267
261,(주)비씨월드제약,200780,2022,0.242577205,1.401130008,0.093847572,-22.18,5.04,-59.19290366
262,(주)비아트론,141000,2022,0.647813029,0.249010169,0.168763649,41.17,-1.11,-58.33328385
263,(주)비에이치,90460,2022,0.484341045,0.554899775,0.033736572,11.63,0.15,-70.28205727
264,(주)비엔지티,32790,2022,-0.719779352,0.442274782,0.015320017,31.39,0.26,-49.13685396
265,(주)비엘,142760,2022,-1.069493387,0.722320502,0.130829673,4.58,3.81,-50.38425581
266,(주)비엘팜텍,65170,2022,-0.92383809,1.125837593,0.032893676,-15.79,3.66,-47.19233194
267,(주)비엠티,86670,2022,0.271922893,0.967446846,0.120353297,18.98,1.4,-60.05587281
268,(주)비올,335890,2022,0.512528627,0.029875181,0.007843642,80.57,-0.98,-56.22626663
269,(주)비즈니스온커뮤니케이션,138580,2022,0.597545105,0.170243021,0.040488227,10.7,1.07,-51.28658056
270,(주)비지에프에코머티리얼즈,126600,2022,0.31643021,1.058335901,0.148054325,38.45,0.41,-60.68059328
271,(주)비츠로셀,82920,2022,0.679048157,0.187445252,0.024024514,40.56,0.51,-56.70998703
272,(주)비츠로시스,54220,2022,-7.756353462,0.237094927,0.214073104,40.4,-8.64,-54.42312672
273,(주)비츠로테크,42370,2022,0.249742763,1.026244456,0.092689156,31.05,0.57,-60.11110763
