,거래소코드,시가총액
889,208640,84936.55494
890,051490,84916.0
891,239340,84850.94893
892,369370,84775.537405
893,002800,84651.39
894,192410,84643.56808
895,049480,84526.21027
896,104200,84517.035
897,041910,84358.68467
898,071460,84343.306775
899,263540,84297.8423
900,020710,84201.474
901,006140,84150.0
902,382800,84118.4973
903,217500,83983.68
904,089850,83965.2246
905,040350,83898.332352
906,054180,83758.735125
907,033230,83528.7594
908,066670,83459.41387
909,100590,83186.928
910,039290,83114.42968
911,367000,83110.55535
912,170790,82961.593
913,109820,82696.2102
914,053950,82676.8342
915,417500,82371.6693
916,043910,82193.35156
917,092300,82160.3904
918,086710,82128.0744
919,173940,82125.3438
920,065130,82117.96098
921,247660,82100.088
922,115440,81809.90155
923,207760,81644.9236
924,128660,81603.08401
925,330730,81522.07245
926,042510,81393.50033
927,290520,81080.45258
928,071670,80900.0
929,189330,80765.6056
930,377330,80670.56184
931,170920,80647.65
932,024940,80600.0
933,072470,80554.509365
934,214680,80357.637675
935,389470,80248.30344
936,027580,80190.633045
937,038680,80079.19223
938,175250,80043.824385
939,011560,80028.0
940,258610,79728.3432
941,053450,79437.35211
942,017650,79200.0
943,134580,79022.6613
944,137080,78964.27308
945,033200,78821.5175
946,039240,78645.54566
947,024810,78479.13271
948,101170,78435.0
949,097780,78251.589
950,007370,78240.0
951,106080,78197.23
952,265740,78153.25
953,012340,77977.54958
954,263860,77634.612
955,064850,77312.0
956,106190,77267.7238
957,900310,77170.218375
958,218150,76598.9994
959,017480,76473.0743
960,208340,76394.38835
961,317690,76134.87882
962,198440,76112.3048
963,007720,76003.5393
964,001840,75955.0896
965,059120,75941.56284
966,288980,75734.80992
967,302550,75676.0576
968,024740,75649.94169
969,276730,75479.80572
970,047080,75459.98048
971,200780,75318.49248
972,106520,75279.42683
973,171010,75129.78951
974,900280,74767.160832
975,003310,74677.8585
976,035620,74290.79565
977,291650,74288.6025
978,016250,74084.1825
979,052220,74060.0
980,069540,74015.95504
981,002230,73956.35368
982,263770,73944.53664
983,072770,73873.574265
984,024800,73817.53848
985,100660,73710.0
986,234920,73608.1504
987,060850,73504.24
988,222420,73365.616125
989,034940,72957.492585
990,039020,72948.61007
991,148250,72871.04017
992,291810,72733.88276
993,060240,72727.75224
994,049830,72665.5272
995,065370,72334.614
996,089530,72278.403
997,050960,72235.7
998,250000,72232.8431
999,014970,72221.875
1000,037330,72191.19348
1001,227950,72116.944589
1002,032940,72045.1908
1003,376290,72042.6
1004,049520,71999.21348
1005,014190,71684.80965
1006,037230,71520.7848
1007,124500,71467.32547
1008,024910,71458.914975
1009,193250,71210.44224
1010,097800,71203.47272
1011,257370,71157.89676
1012,368770,71129.397125
1013,045660,71036.0
1014,357880,71028.13816
1015,338220,71009.05344
1016,142210,70987.22155
1017,336060,70494.652
1018,123010,70457.71264
1019,264850,70250.4288
1020,089790,70248.64353
1021,057540,70138.52605
1022,290720,70102.1502
1023,389030,69944.042025
1024,053350,69861.93348
1025,208140,69780.86521
1026,088910,69745.7628
1027,022220,69663.708755
1028,238200,69530.0
1029,222110,69404.595
1030,211050,69259.9704
1031,206400,69201.6264
1032,016600,69159.879456
1033,044960,69024.68118
1034,010240,69007.0976
1035,037350,68996.2
1036,101330,68879.7905
1037,068330,68756.0977
1038,083550,68747.37376
1039,335810,68644.05518
1040,101240,68635.50568
1041,088130,68562.69134
1042,238490,68552.15016
1043,004780,68383.7557
1044,056360,68381.664
1045,053620,68370.0
1046,242040,68140.983
1047,115310,68008.4079
1048,060230,67988.056175
1049,219420,67670.0913
1050,065440,67642.0496
1051,096690,67130.306316
1052,013810,67122.0526
1053,109960,67010.706375
1054,038460,66892.374
1055,032790,66639.567115
1056,109080,66504.8
1057,024830,66466.0
1058,123410,66400.93764
1059,307180,66183.8738
1060,066130,66176.0
1061,097870,66052.2
1062,047770,66035.34049
1063,237820,65931.4996
1064,054040,65892.289
1065,089140,65856.053655
1066,317830,65736.3896
1067,351330,65727.9636
1068,032860,65288.37588
1069,262840,65174.6
1070,052900,65026.87006
1071,246690,64951.929745
1072,131100,64936.35368
1073,347770,64502.7405
1074,312610,64416.90384
1075,139050,64401.805889
1076,127120,64357.75038
1077,260970,64138.836
1078,147830,64000.0
1079,037370,63824.7928
1080,085910,63819.53357
1081,004590,63750.0
1082,083640,63548.66664
1083,223250,63405.204
1084,099520,63350.15819
1085,073010,63336.44975
1086,043260,63285.38004
1087,033560,63270.0
1088,095270,63178.70032
1089,273060,63074.4775
1090,053590,63013.198947
1091,043340,63000.0
1092,069110,62963.9358
1093,054090,62897.26464
1094,115500,62880.0
1095,290120,62817.81968
1096,042500,62809.63102
1097,087600,62800.83102
1098,067920,62787.83949
1099,096630,62502.005109
1100,066900,62433.660735
1101,053290,62304.17739
1102,064520,62143.18168
1103,019660,62101.48161
1104,133750,61911.718665
1105,359090,61891.79358
1106,307870,61738.776
1107,041020,61737.091
1108,041520,61553.0865
1109,228340,61400.0
1110,321260,61317.7827
1111,317240,61296.508625
1112,038010,61290.0
1113,131400,61120.542546
1114,008830,61115.136
1115,129890,61075.95246
1116,051380,61053.48656
1117,189690,60927.99087
1118,045520,60905.0
1119,307280,60878.86136
1120,256150,60863.75
1121,036090,60818.772672
1122,351320,60763.84536
1123,052300,60630.88073
1124,140520,60372.43498
1125,016100,60358.82504
1126,290740,60289.41589
1127,380540,60263.1165
1128,332370,60262.71604
1129,204020,60240.8157
1130,178780,60240.30232
1131,115480,59670.126675
1132,032680,59666.41668
1133,039420,59662.1831
1134,196450,59581.14457
1135,008370,59580.0
1136,031860,59475.045066
1137,130500,59343.81216
1138,340440,59310.78076
1139,095910,59293.68912
1140,046940,59283.868
1141,073110,59245.7283
1142,311390,59229.70515
1143,094860,59228.692425
1144,168360,59181.42952
1145,083500,58925.61068
1146,053270,58859.00802
1147,119850,58804.849675
1148,075970,58788.0
1149,018680,58646.37457
1150,220180,58612.16
1151,100030,58450.1092
1152,052600,58396.685
1153,099440,58394.10768
1154,363250,58003.9326
1155,039010,57960.0
1156,062860,57952.8664
1157,127710,57940.77612
