,회사명,거래소코드,회계년도,설립일,WW지수,WWC변수,부채,MWW지수,MK지수,SA지수,매출액증가율차분
2779,(주)슈프리마에이치큐,094840,2021,2000,-53.43407456548657,-53.43407456548657,168.0,-53.43226393263754,-53.43226393263754,-1.7575129541311467,7.183137554041606
2780,(주)슈피겐코리아,192440,2014,2009,-62.9232134847437,-25437416.723213486,775.0,-62.93319461184436,-62.92255779026264,-2.4872317839803433,99.60830831084706
2781,(주)슈피겐코리아,192440,2015,2009,-62.16162144600715,-23030389.96162145,0.0,-62.16162144600715,-62.16162144600715,-2.3849642046104966,8.49445423139978
2782,(주)슈피겐코리아,192440,2016,2009,-61.367600833248495,-19192000.167600837,0.0,-61.367600833248495,-61.367600833248495,-2.286109881723619,13.29054184141073
2783,(주)슈피겐코리아,192440,2017,2009,-63.09955908943062,-18788338.49955909,5357.0,-63.05587992436558,-63.05587992436558,-2.187542137831516,24.706922104279077
2784,(주)슈피겐코리아,192440,2018,2009,-63.508227041007736,-42992760.708227046,5591.0,-63.46866874515692,-63.46866874515692,-2.099232071722804,19.084018124613415
2785,(주)슈피겐코리아,192440,2019,2009,-62.70567639057957,-48600504.90567639,5789.0,-62.670566311475106,-62.670566311475106,-2.0047929982213435,5.620602152113174
2786,(주)슈피겐코리아,192440,2020,2009,-63.77134132464823,-44862005.17134133,5440.0,-63.74315952440747,-63.74315952440747,-1.906989392455611,9.960065963298318
2787,(주)슈피겐코리아,192440,2021,2009,-63.20847459536759,-31403422.8084746,5928.0,-63.180432210115924,-63.180432210115924,-1.8326973669559607,-12.956198175723316
2788,(주)스마트솔루션즈,136510,2012,2000,-43.80820922027058,-43.80820922027058,24.0,-43.80789396412496,-43.807105823760914,-2.565027978748193,-54.62486816261697
2789,(주)스마트솔루션즈,136510,2013,2000,-56.62421743535497,-669625.6242174354,0.0,-56.62421743535497,-56.62421743535497,-2.5142532081793543,168.5128366654447
2790,(주)스마트솔루션즈,136510,2014,2000,-49.97265487848398,-631426.9726548786,0.0,-49.97265487848398,-49.97265487848398,-2.4868002397005458,-36.34956398158594
2791,(주)스마트솔루션즈,136510,2015,2000,-51.436833306467975,-593732.4368333064,0.0,-51.436833306467975,-51.436833306467975,-2.452056962662055,-1.1548914033729227
2792,(주)스마트솔루션즈,136510,2016,2000,-50.572148823835526,-959388.9721488238,0.0,-50.572148823835526,-50.572148823835526,-2.3613270791807417,10.987511053425658
2793,(주)스마트솔루션즈,136510,2017,2000,-51.80415422518971,-1633534.8041542252,6288.0,-51.487507541577415,-51.487507541577415,-2.2939689666414806,50.01077650368904
2794,(주)스마트솔루션즈,136510,2018,2000,-52.71283466335318,-637896.3128346632,6288.0,-52.40175286915794,-52.40175286915794,-2.2508012586837456,-7.61720595140063
2795,(주)스마트솔루션즈,136510,2019,2000,-44.330703526718445,-44.330703526718445,7387.0,-43.92152701268595,-43.92152701268595,-2.2305285960922845,-14.446105083482818
2796,(주)스마트솔루션즈,136510,2020,2000,-42.13185460463137,-42.13185460463137,9387.0,-41.463446222697286,-41.463446222697286,-2.2304362621688334,-31.087504782974527
2797,(주)스마트솔루션즈,136510,2021,2000,-53.3870776060541,-53.3870776060541,61468.0,-52.206881215687105,-52.206881215687105,-1.922460803005448,105.96427391314612
2798,(주)스맥,099440,2012,1996,-58.604005551955275,-1655452.404005552,50123.0,-58.252695778449514,-58.031275398494486,-2.0707636526595787,19.331015203880437
2799,(주)스맥,099440,2013,1996,-56.88245468088752,-3905932.8824546807,76994.0,-56.84316890365029,-56.38781663953593,-1.9587205235065706,-17.855103186961756
2800,(주)스맥,099440,2014,1996,-59.48751432447086,-5071535.4875143245,73490.0,-59.650289577343884,-59.17529990649966,-1.8756082535467005,4.117521849650883
2801,(주)스맥,099440,2015,1996,-57.558804198232515,-6339402.558804199,70951.0,-57.362716299643445,-57.03708546689303,-1.868932298031768,-18.757324362001132
2802,(주)스맥,099440,2016,1996,-57.938880141438595,-6902852.738880141,65267.0,-57.836144856870675,-57.56963898925158,-1.7656669926450712,-24.757719388142956
2803,(주)스맥,099440,2017,1996,-55.952519434166916,-7393958.9525194345,58191.0,-55.83110965421581,-55.59303434859234,-1.7424029850660592,-19.020695775106233
2804,(주)스맥,099440,2018,1996,-59.48861104897736,-7685988.688611048,72952.0,-59.41160933613649,-59.103012506251495,-1.6781867639865364,-12.262291586228363
2805,(주)스맥,099440,2019,1996,-54.26341628275594,-54.26341628275594,99586.0,-53.83781916934105,-53.58596772893686,-1.6318937996517944,10.100342077087541
2806,(주)스맥,099440,2020,1996,-51.950518193099185,-51.950518193099185,90069.0,-51.41868935588988,-51.18189307682012,-1.6483633813333052,-27.96272060339827
2807,(주)스맥,099440,2021,1996,-52.70324469263562,-52.70324469263562,89902.0,-51.96239676462435,-51.83665196299283,-1.604901233185072,1.8529235986225703
