,회사명,거래소코드,회계년도,내수변화,수출변화,생산변화
5513,(주)네오팜,92730,2012/12,+,-,+
5517,(주)네오팜,92730,2013/12,+,-,+
5520,(주)네오팜,92730,2014/12,+,+,+
5526,(주)네오팜,92730,2015/12,+,+,+
5529,(주)네오팜,92730,2016/12,+,-,+
5532,(주)네오팜,92730,2017/12,+,-,+
5536,(주)네오팜,92730,2018/12,+,+,+
5544,(주)네오팜,92730,2019/12,+,+,+
5547,(주)네오팜,92730,2020/12,-,-,-
5551,(주)네오팜,92730,2021/12,+,+,+
5557,(주)네오퍼플,28090,2011/12,0,0,0
5566,(주)네오퍼플,28090,2012/12,-,0,-
5576,(주)네오펙트,290660,2018/12,0,0,0
5588,(주)네오펙트,290660,2019/12,-,+,-
5602,(주)네오펙트,290660,2020/12,+,-,-
5610,(주)네오펙트,290660,2021/12,+,+,+
5623,(주)네온테크,306620,2020/12,0,0,0
5635,(주)네온테크,306620,2021/12,+,-,+
5646,(주)네이블커뮤니케이션즈,153460,2012/12,0,0,0
5647,(주)네이블커뮤니케이션즈,153460,2013/12,-,-,-
5654,(주)네이블커뮤니케이션즈,153460,2014/12,+,-,+
5655,(주)네이블커뮤니케이션즈,153460,2015/12,-,+,-
5661,(주)네이블커뮤니케이션즈,153460,2016/12,-,-,-
5663,(주)네이블커뮤니케이션즈,153460,2017/12,-,-,-
5670,(주)네이블커뮤니케이션즈,153460,2018/12,+,+,+
5672,(주)네이블커뮤니케이션즈,153460,2019/12,-,-,-
5677,(주)네이블커뮤니케이션즈,153460,2020/12,-,+,-
5679,(주)네이블커뮤니케이션즈,153460,2021/12,+,-,+
5686,(주)네이처셀,7390,2011/12,0,0,0
5692,(주)네이처셀,7390,2012/12,-,+,+
5699,(주)네이처셀,7390,2013/12,+,-,+
5704,(주)네이처셀,7390,2014/12,+,-,-
5711,(주)네이처셀,7390,2015/12,+,-,+
5723,(주)네이처셀,7390,2016/12,-,+,-
5728,(주)네이처셀,7390,2017/12,-,+,+
5740,(주)네이처셀,7390,2018/12,+,-,-
5753,(주)네이처셀,7390,2019/12,+,-,-
5764,(주)네이처셀,7390,2020/12,-,-,-
5772,(주)네이처셀,7390,2021/12,+,+,+
5789,(주)네패스,33640,2011/12,0,0,0
5823,(주)네패스,33640,2012/12,+,-,+
5882,(주)네패스,33640,2013/12,-,+,+
5956,(주)네패스,33640,2014/12,-,-,-
6025,(주)네패스,33640,2015/12,-,-,-
6040,(주)네패스,33640,2016/12,-,-,-
6098,(주)네패스,33640,2017/12,-,+,+
6159,(주)네패스,33640,2018/12,+,-,-
6240,(주)네패스,33640,2019/12,+,+,+
6260,(주)네패스,33640,2020/12,-,+,-
6267,(주)네패스,33640,2021/12,+,+,+
6272,(주)네패스아크,330860,2020/12,0,0,0
6281,(주)네패스아크,330860,2021/12,+,+,+
6285,(주)넥스지,81970,2011/12,0,0,0
6292,(주)넥스지,81970,2012/12,-,-,-
6296,(주)넥스지,81970,2013/12,-,-,-
6300,(주)넥스지,81970,2014/12,+,-,+
6308,(주)넥스지,81970,2015/12,+,+,+
6309,(주)넥스지,81970,2016/12,+,+,+
6317,(주)넥스지,81970,2017/12,-,+,-
6322,(주)넥스턴바이오사이언스,89140,2011/12,0,0,0
6326,(주)넥스턴바이오사이언스,89140,2012/12,-,-,-
6330,(주)넥스턴바이오사이언스,89140,2013/12,+,-,+
6332,(주)넥스턴바이오사이언스,89140,2014/12,-,+,-
6339,(주)넥스턴바이오사이언스,89140,2015/12,-,-,-
6340,(주)넥스턴바이오사이언스,89140,2016/12,+,+,+
6349,(주)넥스턴바이오사이언스,89140,2017/12,+,-,-
6352,(주)넥스턴바이오사이언스,89140,2018/12,-,-,-
6356,(주)넥스턴바이오사이언스,89140,2019/12,+,+,+
6363,(주)넥스턴바이오사이언스,89140,2020/12,-,-,-
6385,(주)넥스턴바이오사이언스,89140,2021/12,+,+,+
6394,(주)넥스트아이,137940,2011/12,0,0,0
6425,(주)넥스트아이,137940,2012/12,+,+,+
6457,(주)넥스트아이,137940,2013/12,-,+,+
6491,(주)넥스트아이,137940,2014/12,+,-,+
6523,(주)넥스트아이,137940,2015/12,-,-,-
6559,(주)넥스트아이,137940,2016/12,-,+,+
6567,(주)넥스트아이,137940,2017/12,+,+,+
6572,(주)넥스트아이,137940,2018/12,+,+,+
6585,(주)넥스트아이,137940,2019/12,-,+,+
6591,(주)넥스트아이,137940,2020/12,-,-,-
6593,(주)넥스트아이,137940,2021/12,+,-,-
6601,(주)넥스트엔터테인먼트월드,160550,2014/12,0,0,0
6605,(주)넥스트엔터테인먼트월드,160550,2015/12,+,-,+
6611,(주)넥스트엔터테인먼트월드,160550,2016/12,+,+,+
6616,(주)넥스트엔터테인먼트월드,160550,2017/12,-,-,-
6620,(주)넥스트엔터테인먼트월드,160550,2018/12,+,+,+
6625,(주)넥스트엔터테인먼트월드,160550,2019/12,-,-,-
6631,(주)넥스트엔터테인먼트월드,160550,2020/12,-,+,-
6636,(주)넥스트엔터테인먼트월드,160550,2021/12,-,+,-
6660,(주)넥스틴,348210,2020/12,0,0,0
6676,(주)넥스틴,348210,2021/12,+,-,+
6679,(주)넥슨게임즈,225570,2017/12,0,0,0
6681,(주)넥슨게임즈,225570,2018/12,+,-,+
6683,(주)넥슨게임즈,225570,2019/12,+,-,+
6686,(주)넥슨게임즈,225570,2020/12,+,+,+
6688,(주)넥슨게임즈,225570,2021/12,-,+,-
6693,(주)넵튠,217270,2016/12,0,0,0
6694,(주)넵튠,217270,2017/12,+,+,+
6698,(주)넵튠,217270,2018/12,-,-,-
6705,(주)넵튠,217270,2019/12,+,-,-
6707,(주)넵튠,217270,2020/12,+,+,+
6712,(주)넵튠,217270,2021/12,+,-,+
6722,(주)넷웨이브,47730,2011/12,0,0,0
6744,(주)노랑풍선,104620,2018/12,0,0,0
6751,(주)노랑풍선,104620,2019/12,-,0,-
6754,(주)노랑풍선,104620,2020/12,-,0,-
6758,(주)노랑풍선,104620,2021/12,-,0,-
6778,(주)노바렉스,194700,2018/12,0,0,0
6780,(주)노바렉스,194700,2019/12,+,+,+
6785,(주)노바렉스,194700,2020/12,+,-,+
6791,(주)노바렉스,194700,2021/12,+,+,+
6797,(주)노바텍,285490,2019/12,0,0,0
6801,(주)노바텍,285490,2020/12,0,0,0
6803,(주)노바텍,285490,2021/12,+,+,+
