회사명,거래소코드,회계년도,합계_기말인원(명),합계_년간총급여(천원),설립일,외국인_주식분포비율,보통주식비율
(주)금화피에스시,036190,2011/12,523,21140217,1981/05/13,10.35,35.37
(주)금화피에스시,036190,2012/12,561,21889732,1981/05/13,12.15,35.62
(주)금화피에스시,036190,2013/12,615,28313879,1981/05/13,15.62,35.97
(주)금화피에스시,036190,2014/12,704,31529149,1981/05/13,19.04,36.03
(주)금화피에스시,036190,2015/12,776,34852710,1981/05/13,19.85,36.06
(주)금화피에스시,036190,2016/12,839,40465579,1981/05/13,23.66,36.89
(주)금화피에스시,036190,2017/12,818,39653537,1981/05/13,28.22,36.89
(주)금화피에스시,036190,2018/12,1396,46515382,1981/05/13,29.1,36.68
(주)금화피에스시,036190,2019/12,876,49040233,1981/05/13,28.62,36.68
(주)금화피에스시,036190,2020/12,905,55559707,1981/05/13,28.84,36.68
(주)금화피에스시,036190,2021/12,934,59393416,1981/05/13,26.02,36.68
(주)기가레인,049080,2013/12,305,11184000,2000/01/31,0.83,46.49
(주)기가레인,049080,2014/12,377,13975000,2000/01/31,1.35,40.9
(주)기가레인,049080,2015/12,364,15142000,2000/01/31,0.66,39.4
(주)기가레인,049080,2016/12,350,14840000,2000/01/31,1.35,38.72
(주)기가레인,049080,2017/12,200,8749000,2000/01/31,0.58,33.6
(주)기가레인,049080,2018/12,222,13027000,2000/01/31,2.07,30.1
(주)기가레인,049080,2019/12,199,11292000,2000/01/31,2.62,24.2
(주)기가레인,049080,2020/12,174,9142000,2000/01/31,4.4,40.4
(주)기가레인,049080,2021/12,171,10593000,2000/01/31,2.87,30.68
(주)기산텔레콤,035460,2011/12,92,3838000,1994/09/06,0.06,35.99
(주)기산텔레콤,035460,2012/12,84,3635000,1994/09/06,0.06,35.99
(주)기산텔레콤,035460,2013/12,85,3625000,1994/09/06,0.51,35.99
(주)기산텔레콤,035460,2014/12,98,3839739,1994/09/06,0.4,35.99
(주)기산텔레콤,035460,2015/12,86,3866594,1994/09/06,1.65,35.85
(주)기산텔레콤,035460,2016/12,95,3824146,1994/09/06,2.39,35.22
(주)기산텔레콤,035460,2017/12,89,3759209,1994/09/06,1.89,35.22
(주)기산텔레콤,035460,2018/12,85,3629267,1994/09/06,1.81,35.22
(주)기산텔레콤,035460,2019/12,79,3628258,1994/09/06,2.54,36.48
(주)기산텔레콤,035460,2020/12,70,3635055,1994/09/06,2.64,35.22
(주)기산텔레콤,035460,2021/12,70,3356261,1994/09/06,4.82,35.22
(주)까스텔바작,308100,2016/12,,,2016/08/01,,
(주)까스텔바작,308100,2017/12,,,2016/08/01,,
(주)까스텔바작,308100,2018/12,,,2016/08/01,,
(주)까스텔바작,308100,2019/12,59,2803306,2016/08/01,0.41,50.84
(주)까스텔바작,308100,2020/12,51,2771376,2016/08/01,0.42,50.84
(주)까스텔바작,308100,2021/12,50,2734235,2016/08/01,0.89,70.77
(주)꿈비,407400,2021/12,,,2014/10/27,,
(주)나노,187790,2014/12,,,2013/10/18,0,8.22
(주)나노,187790,2015/12,77,3034000,2013/10/18,0.06,14.06
(주)나노,187790,2016/12,76,3412924,2013/10/18,0.02,11.73
(주)나노,187790,2017/12,71,3014825,2013/10/18,0.51,9.93
(주)나노,187790,2018/12,63,2224325,2013/10/18,0.35,9.66
(주)나노,187790,2019/12,45,1757556,2013/10/18,2.25,8.93
(주)나노,187790,2020/12,58,2405439,2013/10/18,1.68,8.96
(주)나노,187790,2021/12,67,2837057,2013/10/18,2.65,8.57
