,거래소코드,시가총액,회계년도
779,108860,82597969930,20111229
780,002710,82240000000,20111229
781,042370,82101220530,20111229
782,058400,81973996680,20111229
783,131390,81753000000,20111229
784,001390,81641000000,20111229
785,003650,81590616800,20111229
786,057500,81557276080,20111229
787,052860,81468470720,20111229
788,001750,81462617600,20111229
789,002840,81383240400,20111229
790,080220,81349296300,20111229
791,009270,81344830450,20111229
792,075180,81216000000,20111229
793,039840,81184754430,20111229
794,039860,80937642240,20111229
795,025320,80412709285,20111229
796,004960,80257967100,20111229
797,100220,80178800000,20111229
798,041910,79494450100,20111229
799,000040,79362017035,20111229
800,095700,79340278500,20111229
801,094820,79314009340,20111229
802,137950,79239600000,20111229
803,006405,79196009200,20111229
804,120240,79074804900,20111229
805,088910,78981300000,20111229
806,001540,78948741200,20111229
807,019550,78926422025,20111229
808,019685,78873579400,20111229
809,059100,78838979500,20111229
810,023800,78832665600,20111229
811,123700,78648685920,20111229
812,024840,78631338800,20111229
813,000390,78400000000,20111229
814,032500,78246000000,20111229
815,017550,78198414500,20111229
816,035510,77744000000,20111229
817,00341A,77625000000,20111229
818,066350,77554985600,20111229
819,002680,76960000000,20111229
820,007540,76881200000,20111229
821,059090,76756858740,20111229
822,039830,76631776800,20111229
823,003555,76569038700,20111229
824,050110,76513655120,20111229
825,009450,76437060000,20111229
826,010100,76430554200,20111229
827,050090,76275263790,20111229
828,033050,75909866860,20111229
829,074130,75131700000,20111229
830,099340,75095460000,20111229
831,099320,75029795000,20111229
832,043610,74863660445,20111229
833,004700,74802802500,20111229
834,012160,74768929200,20111229
835,100250,74620214820,20111229
836,005190,74400817200,20111229
837,005560,73961160000,20111229
838,096610,73900827000,20111229
839,065150,73772884360,20111229
840,001820,73284750000,20111229
841,052190,73278000000,20111229
842,048910,73207191680,20111229
843,095610,73131240000,20111229
844,060250,73123721820,20111229
845,006910,72858658500,20111229
846,009280,72554172600,20111229
847,009155,72529250800,20111229
848,006440,72288228600,20111229
849,084110,72180000000,20111229
850,000970,72049580000,20111229
851,100090,72000000000,20111229
852,009180,71975628000,20111229
853,079950,71920000000,20111229
854,069460,71771649155,20111229
855,051780,71722002300,20111229
856,049950,71705350080,20111229
857,015230,71600000000,20111229
858,084680,71469225360,20111229
859,028080,71314459020,20111229
860,010050,71061625750,20111229
861,053280,71036000000,20111229
862,053290,71029425000,20111229
863,086040,70536282140,20111229
864,096240,70523792500,20111229
865,052900,70290000000,20111229
866,002630,70244921420,20111229
867,078600,70134854200,20111229
868,036010,69852380000,20111229
869,111870,69730000000,20111229
870,059210,69598448920,20111229
871,017180,69572760840,20111229
872,065160,69393836610,20111229
873,033160,69141070090,20111229
874,090370,69100000000,20111229
875,016090,69055522750,20111229
876,078000,68986239660,20111229
877,086960,68901104740,20111229
878,017680,68897530400,20111229
879,058530,68839086700,20111229
880,020710,68654102400,20111229
881,012860,68445000000,20111229
882,003547,68400000000,20111229
883,008350,68311035800,20111229
884,101170,68220000000,20111229
885,032860,68080289925,20111229
886,025850,68020000000,20111229
887,082210,68009865000,20111229
888,119610,67677500000,20111229
889,053980,67598156390,20111229
890,024810,67592907161,20111229
891,127120,67501252000,20111229
892,139200,67499929420,20111229
893,101930,67439535750,20111229
894,089010,67360238400,20111229
895,053350,67289114400,20111229
896,042110,67178093960,20111229
897,056730,67011531510,20111229
898,036190,66900000000,20111229
899,072470,66805851060,20111229
900,025550,66796989270,20111229
901,096300,66406414524,20111229
902,056700,66396804705,20111229
903,002170,66300000000,20111229
904,051360,66299752440,20111229
905,035150,66066000000,20111229
906,025750,66061710550,20111229
907,079960,66024000000,20111229
908,049000,65949198000,20111229
909,088790,65859775830,20111229
910,019300,65686950000,20111229
911,045890,65616649550,20111229
912,094850,65590000000,20111229
913,011000,65414976000,20111229
914,006090,65400000000,20111229
915,064240,65379282290,20111229
916,002100,65183708750,20111229
917,028090,65122651620,20111229
918,036500,65014409400,20111229
919,067160,64825353900,20111229
920,033310,64818612450,20111229
921,030720,64640103200,20111229
922,095340,64596000000,20111229
923,102210,64530070000,20111229
924,003220,64354834560,20111229
925,101000,64339907500,20111229
926,047770,64300791750,20111229
927,024800,64184890665,20111229
928,000500,64069343800,20111229
929,049180,63932871474,20111229
930,010660,63800000000,20111229
931,014440,63800000000,20111229
932,005710,63576000000,20111229
933,080520,63447396300,20111229
934,095910,63407690500,20111229
935,013120,63384053800,20111229
936,010280,63326213210,20111229
937,068290,63300000000,20111229
938,006805,63270496250,20111229
939,006660,63222722920,20111229
940,023760,62951409696,20111229
941,024910,62629000000,20111229
942,048770,62608000000,20111229
943,900110,62560000000,20111229
944,002820,62200000000,20111229
945,069330,62173152160,20111229
946,013450,62161360800,20111229
947,093920,62124000000,20111229
948,035210,62116162500,20111229
949,033200,62035032500,20111229
950,065950,61734851390,20111229
951,039200,61650193000,20111229
952,040160,61607832000,20111229
953,019770,61512000000,20111229
954,089890,61502244480,20111229
955,023910,61500000000,20111229
956,048870,61123142460,20111229
957,012340,61111111050,20111229
958,018470,61108800000,20111229
959,000470,61021034370,20111229
960,031510,60970000000,20111229
961,006570,60900000000,20111229
962,089230,60893600000,20111229
963,086980,60471600000,20111229
964,002070,60437916000,20111229
965,053610,60300000000,20111229
966,068240,60275250000,20111229
967,026890,60016572000,20111229
968,001080,59967500000,20111229
969,002920,59679250000,20111229
970,034300,59600000000,20111229
971,131400,59475000000,20111229
972,136540,59443264000,20111229
973,050050,59433973170,20111229
974,090350,59400000000,20111229
975,039980,59393652450,20111229
976,054040,59383416550,20111229
977,091120,59372985900,20111229
978,004060,59310513280,20111229
979,024070,59277254400,20111229
980,083420,59200000000,20111229
981,051390,59047913600,20111229
