회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류)
(주)금호에이치티,214330,2018/12,30,제조업
(주)금호에이치티,214330,2019/12,30,제조업
(주)금호에이치티,214330,2020/12,30,제조업
(주)금호에이치티,214330,2021/12,30,제조업
(주)까뮤이앤씨,013700,2011/12,41,건설업
(주)까뮤이앤씨,013700,2012/12,41,건설업
(주)까뮤이앤씨,013700,2013/12,41,건설업
(주)까뮤이앤씨,013700,2014/12,41,건설업
(주)까뮤이앤씨,013700,2015/12,41,건설업
(주)까뮤이앤씨,013700,2016/12,41,건설업
(주)까뮤이앤씨,013700,2017/12,41,건설업
(주)까뮤이앤씨,013700,2018/12,41,건설업
(주)까뮤이앤씨,013700,2019/12,41,건설업
(주)까뮤이앤씨,013700,2020/12,41,건설업
(주)까뮤이앤씨,013700,2021/12,41,건설업
(주)나이스홀딩스,034310,2011/12,71,"전문, 과학 및 기술 서비스업"
(주)나이스홀딩스,034310,2012/12,71,"전문, 과학 및 기술 서비스업"
(주)나이스홀딩스,034310,2013/12,71,"전문, 과학 및 기술 서비스업"
(주)나이스홀딩스,034310,2014/12,71,"전문, 과학 및 기술 서비스업"
(주)나이스홀딩스,034310,2015/12,71,"전문, 과학 및 기술 서비스업"
(주)나이스홀딩스,034310,2016/12,71,"전문, 과학 및 기술 서비스업"
(주)나이스홀딩스,034310,2017/12,71,"전문, 과학 및 기술 서비스업"
(주)나이스홀딩스,034310,2018/12,71,"전문, 과학 및 기술 서비스업"
(주)나이스홀딩스,034310,2019/12,71,"전문, 과학 및 기술 서비스업"
(주)나이스홀딩스,034310,2020/12,71,"전문, 과학 및 기술 서비스업"
(주)나이스홀딩스,034310,2021/12,71,"전문, 과학 및 기술 서비스업"
(주)남선알미늄,008350,2011/12,24,제조업
(주)남선알미늄,008350,2012/12,24,제조업
(주)남선알미늄,008350,2013/12,24,제조업
(주)남선알미늄,008350,2014/12,24,제조업
(주)남선알미늄,008350,2015/12,24,제조업
(주)남선알미늄,008350,2016/12,24,제조업
(주)남선알미늄,008350,2017/12,24,제조업
(주)남선알미늄,008350,2018/12,24,제조업
(주)남선알미늄,008350,2019/12,24,제조업
(주)남선알미늄,008350,2020/12,24,제조업
(주)남선알미늄,008350,2021/12,24,제조업
(주)남성,004270,2011/12,46,도매 및 소매업
(주)남성,004270,2012/12,46,도매 및 소매업
(주)남성,004270,2013/12,46,도매 및 소매업
(주)남성,004270,2014/12,46,도매 및 소매업
(주)남성,004270,2015/12,46,도매 및 소매업
(주)남성,004270,2016/12,46,도매 및 소매업
(주)남성,004270,2017/12,46,도매 및 소매업
(주)남성,004270,2018/12,46,도매 및 소매업
(주)남성,004270,2019/12,46,도매 및 소매업
(주)남성,004270,2020/12,46,도매 및 소매업
(주)남성,004270,2021/12,46,도매 및 소매업
(주)넥센,005720,2011/12,22,제조업
(주)넥센,005720,2012/12,22,제조업
(주)넥센,005720,2013/12,22,제조업
(주)넥센,005720,2014/12,22,제조업
(주)넥센,005720,2015/12,22,제조업
(주)넥센,005720,2016/12,22,제조업
(주)넥센,005720,2017/12,22,제조업
(주)넥센,005720,2018/12,22,제조업
(주)넥센,005720,2019/12,22,제조업
(주)넥센,005720,2020/12,22,제조업
(주)넥센,005720,2021/12,22,제조업
(주)넥솔론,110570,2011/12,26,제조업
(주)넥솔론,110570,2012/12,26,제조업
(주)넥솔론,110570,2013/12,26,제조업
(주)넥솔론,110570,2014/12,26,제조업
(주)넥솔론,110570,2015/12,26,제조업
(주)넥솔론,110570,2016/12,26,제조업
(주)노루페인트,090350,2011/12,20,제조업
(주)노루페인트,090350,2012/12,20,제조업
(주)노루페인트,090350,2013/12,20,제조업
(주)노루페인트,090350,2014/12,20,제조업
(주)노루페인트,090350,2015/12,20,제조업
(주)노루페인트,090350,2016/12,20,제조업
(주)노루페인트,090350,2017/12,20,제조업
(주)노루페인트,090350,2018/12,20,제조업
(주)노루페인트,090350,2019/12,20,제조업
(주)노루페인트,090350,2020/12,20,제조업
(주)노루페인트,090350,2021/12,20,제조업
(주)노루홀딩스,000320,2011/12,71,"전문, 과학 및 기술 서비스업"
(주)노루홀딩스,000320,2012/12,71,"전문, 과학 및 기술 서비스업"
(주)노루홀딩스,000320,2013/12,71,"전문, 과학 및 기술 서비스업"
(주)노루홀딩스,000320,2014/12,71,"전문, 과학 및 기술 서비스업"
(주)노루홀딩스,000320,2015/12,71,"전문, 과학 및 기술 서비스업"
(주)노루홀딩스,000320,2016/12,71,"전문, 과학 및 기술 서비스업"
(주)노루홀딩스,000320,2017/12,71,"전문, 과학 및 기술 서비스업"
(주)노루홀딩스,000320,2018/12,71,"전문, 과학 및 기술 서비스업"
(주)노루홀딩스,000320,2019/12,71,"전문, 과학 및 기술 서비스업"
(주)노루홀딩스,000320,2020/12,71,"전문, 과학 및 기술 서비스업"
(주)노루홀딩스,000320,2021/12,71,"전문, 과학 및 기술 서비스업"
(주)녹십자,006280,2011/12,21,제조업
(주)녹십자,006280,2012/12,21,제조업
(주)녹십자,006280,2013/12,21,제조업
(주)녹십자,006280,2014/12,21,제조업
(주)녹십자,006280,2015/12,21,제조업
(주)녹십자,006280,2016/12,21,제조업
(주)녹십자,006280,2017/12,21,제조업
(주)녹십자,006280,2018/12,21,제조업
(주)녹십자,006280,2019/12,21,제조업
(주)녹십자,006280,2020/12,21,제조업
(주)녹십자,006280,2021/12,21,제조업
(주)녹십자홀딩스,005250,2011/12,71,"전문, 과학 및 기술 서비스업"
(주)녹십자홀딩스,005250,2012/12,71,"전문, 과학 및 기술 서비스업"
(주)녹십자홀딩스,005250,2013/12,71,"전문, 과학 및 기술 서비스업"
(주)녹십자홀딩스,005250,2014/12,71,"전문, 과학 및 기술 서비스업"
(주)녹십자홀딩스,005250,2015/12,71,"전문, 과학 및 기술 서비스업"
(주)녹십자홀딩스,005250,2016/12,71,"전문, 과학 및 기술 서비스업"
(주)녹십자홀딩스,005250,2017/12,71,"전문, 과학 및 기술 서비스업"
(주)녹십자홀딩스,005250,2018/12,71,"전문, 과학 및 기술 서비스업"
(주)녹십자홀딩스,005250,2019/12,71,"전문, 과학 및 기술 서비스업"
(주)녹십자홀딩스,005250,2020/12,71,"전문, 과학 및 기술 서비스업"
(주)녹십자홀딩스,005250,2021/12,71,"전문, 과학 및 기술 서비스업"
(주)농심,004370,2011/12,10,제조업
(주)농심,004370,2012/12,10,제조업
(주)농심,004370,2013/12,10,제조업
(주)농심,004370,2014/12,10,제조업
(주)농심,004370,2015/12,10,제조업
