,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,재고자산회전률,자기자본회전률,타인자본회전률,총자본회전률,외국인지분율,대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,업력,누적수익성비율,이자부담률,부채상환계수,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,EBITDA마진율,PBR변화율,ROA변화율,target_1,target_2,target_3,현금흐름/총부채비율,영업현금흐름-단기차입금,abs(영업현금흐름-당기순이익)/매출액
30,(주)경동도시가스,267290,2021,2.42,140.93,8.7,"전기, 가스, 증기 및 공기조절 공급업",3.0,5.9,2.45,7.82,-0.1,98.87,4.5,1033.73,3.88,2.75,1.61,17.34,51.99,0.426236022376615,34.07365082519729,5.253477926869613,29.276303565456264,49.61124896608767,4.0,0.1062828637511442,62.25137115839244,25.343917228103948,0.1533866523971467,0.0952109385830186,3.970956068180631,0.1473049795907537,0.0306569875687126,22633.5,-113884.524,3.614213734443992,15.440723420567872,-6.488549618320608,0.0,0.0,0.0,0.26222558238435,138737.0,0.0800093881635022
31,(주)경보제약,214390,2019,23.73,59.43,16.97,제조업,2.7,3.55,2.3,21.24,0.67,16.04,2.33,3.31,1.29,2.38,0.83,1.41,60.5,15.188830934546452,-4.786832485696122,0.1020052076342844,7.307003334491456,-64.12810563502636,32.0,0.4091885777719843,14.470901386748844,0.3415691658635049,0.099521901293852,0.123459881276538,0.4489426347377707,0.830347130777026,0.0267768914753781,11730.5,-3018.84,9.797935380217623,-19.49675165197121,-62.60162601626017,0.0,0.0,0.0,0.2669734808748717,-29979.0,0.0958916257185481
32,(주)경보제약,214390,2020,24.98,62.27,17.54,제조업,3.53,6.16,3.83,24.37,0.57,18.01,2.44,3.46,1.41,2.32,0.88,1.11,60.5,0.4755095555858186,12.2995628723149,4.621088198224773,6.484818158500024,39.82886664514046,33.0,0.4114966494102409,16.25813312930375,0.3393656472091352,0.0821161037596894,0.0965928884966439,0.2486254242928253,1.543510916564984,0.0371704200379878,7427.5,-8738.697,9.870348607659611,89.19884320531608,66.5217391304348,0.0,0.0,0.0,0.2139799551357247,-40423.0,0.0529112571707271
33,(주)경보제약,214390,2021,23.88,62.65,9.43,제조업,-2.7,-4.97,-3.06,20.72,0.67,14.28,1.86,2.85,1.13,1.81,0.7,1.03,60.5,6.9712543062065855,-20.728336855795806,-6.636036832695746,-6.420811960243091,-176.49232190278258,34.0,0.3991366323598294,5.2141581632653065,0.1085283185840708,0.0758210643137155,0.1052853627094808,0.3551690495609229,1.0844789833698345,-0.0252005451959878,1018.0,-461.8230000000003,3.593021211766085,-29.57750159321507,-179.89556135770238,0.0,0.0,0.0,0.196849186003199,-37266.0,0.1492030938708543
34,(주)경인양행,012610,2019,36.82,98.83,12.56,제조업,5.32,6.57,3.7,23.62,1.36,17.68,2.05,2.71,1.56,1.69,0.81,9.63,34.67,24.92984759551025,8.36600201750518,6.111039109041424,14.306157187582476,19.623178101670813,42.0,0.3374378549443845,4.398246239113222,0.1501205291391354,0.014336522757747,0.0188627711105289,0.7432944580809652,0.6687124987025531,0.0482311298272965,21623.0,44270.851,6.192813863913801,26.97701504005736,3.3519553072625725,0.0,0.0,0.0,0.028843203436637,-133466.0,0.0267696389652231
35,(주)경인양행,012610,2020,43.8,121.17,9.29,제조업,0.69,-4.18,-1.55,20.82,1.37,16.05,1.6,2.63,1.41,1.29,0.67,3.59,33.55,11.442937288458666,-8.219017731227808,-3.812022760104956,6.994774201884846,-85.69305879855656,43.0,0.2928477812402247,1.2951405028523135,0.0349523032974301,0.1080019481213695,0.1656544553493343,0.952283908280639,0.575300849333402,-0.0033300204711127,13462.5,-12596.417999999998,1.8614262462345736,-4.303214634699074,-141.89189189189187,0.0,0.0,0.0,0.1971379011274935,-107383.0,0.1886782139733747
36,(주)경인양행,012610,2021,43.15,130.08,9.73,제조업,5.23,11.1,5.02,25.27,0.99,19.47,1.81,3.28,1.68,1.33,0.74,3.35,33.57,5.751584436236554,22.475342532309785,10.284523298683784,14.727718361835826,741.3946587537092,44.0,0.2934259661910777,6.697821320270585,0.1397117555469054,0.0159294692592822,0.0228871929902857,1.1354509965468629,0.4979188204496352,0.0618524500769639,15862.5,20218.383,7.119193902699057,-9.963767633636309,423.8709677419354,0.0,0.0,0.0,0.0281756775317972,-181203.0,0.0445768435459157
37,(주)광명전기,017040,2019,10.34,48.69,26.8,제조업,5.18,8.53,4.61,11.24,-0.05,6.09,4.03,13.74,1.29,2.53,0.85,4.74,29.98,-33.29939936882826,15.557658770845933,6.735326285089319,3.2208558650533847,145.11970534069982,64.0,0.3438834046952072,24.02715447154472,0.5350968676443962,0.1307868523989713,0.1554328702299338,0.5193211567105664,0.6305141385845463,0.0443677295438157,5622.0,-19881.359,6.723609173087423,-18.468511042987583,157.5418994413408,0.0,0.0,0.0,0.3994231593717114,4296.0,0.101453012194382
38,(주)광명전기,017040,2020,6.84,51.1,32.07,제조업,2.63,4.67,2.81,9.11,-0.15,5.7,4.45,11.94,1.15,2.3,0.77,3.39,32.19,12.04594017094017,-6.30649760359158,4.163227355098246,5.852737169220166,-46.944653143000245,65.0,0.353497905175272,31.089653465346533,0.550790212243466,0.0317689965940259,0.0426554861268494,0.6439891817738608,0.5251144235464328,0.0342164752690116,6111.5,-1142.6059999999998,5.083133680836598,-15.365626646429709,-39.04555314533623,0.0,0.0,0.0,0.0939444177050466,-5930.0,0.0059895749020623
39,(주)광명전기,017040,2021,6.24,47.59,37.35,제조업,1.71,5.54,3.49,6.92,-0.13,6.33,4.7,9.04,1.22,2.47,0.82,2.95,31.06,-1.3451387706453262,10.963350276815488,4.871250694526674,2.4366277843084063,-32.3814019353316,66.0,0.377350273941163,17.53770642201835,0.3567102071281955,-0.0149240556238855,-0.0184983916027805,0.4919388215737827,0.6554442234018137,0.0380987129767488,3551.0,3306.9210000000003,2.7887784204882813,21.92159020764505,24.199288256227764,0.0,0.0,0.0,-0.0462849738095672,-13036.0,0.0612358034327062
40,(주)국동,005320,2019,37.23,104.22,34.91,도매 및 소매업,-3.31,-7.94,-3.52,15.32,1.01,21.59,6.58,6.86,3.92,3.12,1.74,5.24,12.5,-4.7636866041102985,1.6064677749943066,35.08200103145951,8.59950460876274,-173.74175633460604,52.0,0.0385645059974275,-3.8565089995814152,-0.2971712414927588,0.0291720259639256,0.0174872353492291,2.002361846285494,0.2548626473931381,-0.0232718135861924,756.5,-1521.9720000000002,-4.130053748257328,-31.74037796422312,-291.30434782608694,0.0,0.0,0.0,0.0571633720674647,-18131.0,0.0377627455990532
41,(주)국동,005320,2020,35.41,115.54,26.97,도매 및 소매업,16.91,14.3,6.79,26.37,1.64,15.26,7.23,8.13,3.39,3.07,1.61,1.68,9.1,11.859642759996374,13.60247806811101,28.02950474183351,35.12981962848853,725.7707695928453,53.0,0.08787444452438,6.972248616236162,1.283177843803056,0.1437678817494092,0.1025132092446955,0.5942144791183207,0.9021267906652426,0.1370938733045196,11170.0,-14277.764,11.929425738198493,273.59626166299205,292.8977272727273,0.0,0.0,0.0,0.268195238783474,6755.0,0.0603975203317799
42,(주)국동,005320,2021,19.17,64.58,29.98,도매 및 소매업,-2.05,-8.54,-4.55,10.8,1.51,9.68,5.26,5.06,2.44,2.79,1.3,1.04,21.92,33.34684283050985,-10.440729063495132,22.102940299397627,-6.765872906071356,-113.49054120124865,54.0,0.0358925656625612,-0.5712907761529809,-0.0866352509701906,-0.1502715536429737,-0.111547307478785,0.4421147771621016,0.887557833090963,-0.02497699955483,11501.0,33958.26,-0.895088164538557,-24.876144642819764,-167.01030927835052,0.0,0.0,0.0,-0.382952654666465,-43645.0,0.0765238233713132
