,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,자기자본회전률,타인자본회전률,총자본회전률,합계_기말인원(명),대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,누적수익성비율,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,WW지수,EBITDA마진율,target_1,target_2,target_3,abs(영업현금흐름-당기순이익)/매출액
43,(주)광림,014200,2013,15.21,56.79,37.83,제조업,3.46,2.54,1.7,13.53,-0.07,5.41,4.33,1.61,3.28,1.08,217.0,18.18,0.2973697436756575,21.235774644585867,2.0393058486346884,13.175367065481364,150.45385779122543,0.2294449420727806,0.1430807240656344,0.1405231917402989,1.087318183307349,0.3331042503912671,0.0187512919197188,2316.5,-13938.923,-50.96344751783495,4.041917209644052,0,0,0,0.124755901858046
44,(주)광림,014200,2014,33.27,89.88,26.21,제조업,0.89,1.09,-0.1,24.19,1.02,12.11,4.08,1.79,2.0,0.95,217.0,24.98,136.93990896563244,123.74470717890216,99.03853573467909,141.04613506836102,-34.007852612503775,0.099331934042779,-0.0259100152724124,-0.0274146021102114,4.015094264658244,0.1178918228481824,0.0080935619022728,2748.0,8643.012,-57.98570363367095,1.160439152113236,0,0,0,0.0263862844896865
45,(주)광림,014200,2015,28.66,80.89,2.21,제조업,1.0,12.54,6.92,24.86,1.0,12.41,9.85,3.22,3.97,1.78,237.0,24.98,-56.90341910468805,2.496046594021932,-37.27349559203232,-40.24199015051902,-39.26773455377575,0.2339362712605662,-0.0182043064391583,-0.0112299397613216,1.1040894683283056,0.4050161153212746,0.1044150909873649,1756.0,5416.844,-51.470514669304826,2.134852016878633,0,0,0,0.0501131846406124
46,(주)광림,014200,2016,24.69,102.28,-7.7,제조업,0.07,-1.92,-0.83,14.09,0.63,3.6,1.23,0.77,0.75,0.38,235.0,32.55,190.07892692103215,-63.197919257407584,40.30581342167394,56.893924381060415,-87.03843255463451,0.1409948736263975,0.0143207446090323,0.0376619360159444,0.3045424413505253,1.6602921639220023,-0.0032840150350396,749.5,-1403.422,-51.747083850374565,1.1252534277172606,0,0,0,0.0593908571297664
47,(주)광림,014200,2018,33.67,108.51,-7.46,제조업,-0.53,-26.58,-14.37,10.29,3.05,5.57,2.33,1.38,1.38,0.69,195.0,32.82,1.644414660549513,1.037783300787029,-16.357912917513996,-9.730459775639485,91.56022635408246,-0.0281609899208255,-0.070788497068893,-0.0973315275083275,0.7893962013683522,0.6592320635685496,-0.152918062114976,-6707.0,30463.692,-52.34218818193808,2.315663091621216,0,0,0,0.1109191405249094
48,(주)광무,029480,2012,29.03,89.07,6.2,제조업,-10.36,-36.23,-19.16,18.02,2.28,6.37,3.3,1.4,1.57,0.74,132.0,13.01,-31.210401630764142,-20.43474060477249,-22.005180799323323,-26.54122666104864,57.32121749408984,-1.310921507824123,-0.1041244689813404,-0.1410670487384346,1.141384399056938,0.4127255711699439,-0.0919894602878703,-9656.5,6638.596,-44.9774408197113,-6.954418514291265,0,0,0,0.1185070059982029
49,(주)광무,029480,2014,42.15,227.58,-18.9,제조업,5.01,-8.66,-3.03,17.9,2.77,4.07,3.92,3.87,2.08,1.35,109.0,8.93,-21.512102257274957,87.05561507743255,-3.209286445885968,-21.257595026141026,110.22653721682846,-0.1232099917453253,0.0549115314215985,0.0398333767248112,1.3874488173163224,0.5007180002153393,-0.0183756235868355,-6241.5,-1216.331,-49.474958777890166,7.458109867222078,0,0,0,0.0622233793282999
50,(주)광무,029480,2015,35.45,172.88,-5.66,제조업,-2.53,-33.57,-11.13,22.64,3.2,1.7,2.11,2.17,1.08,0.72,106.0,7.46,-6.340956340956342,-54.05363186670138,-8.947677836566726,-24.153895847539747,-143.60056258790436,-0.2284105427530402,-0.0260256470922254,-0.0311650045330915,0.2735476350808393,2.316082494203379,-0.0364359059291156,401.0,829.172,-41.31541056763011,1.0982547597461467,0,0,0,0.1234134179510426
51,(주)광무,029480,2016,49.4,261.22,-4.8,제조업,5.15,1.21,0.38,17.7,2.22,2.34,3.27,3.35,1.54,1.05,110.0,7.46,-0.6782587248735973,49.76201269265639,3.990185950413224,37.65201343869777,308.7096774193548,-0.1524235132347886,0.0052939154348573,0.0058267120696178,0.597865874888422,1.2095847988999655,0.0504640770024063,337.0,333.18,-46.6380496527079,7.125841846386681,0,0,0,0.0021944759742716
52,(주)광무,029480,2017,14.42,113.62,4.82,제조업,0.69,-31.04,-11.55,18.74,2.47,1.58,2.73,1.99,1.18,0.74,117.0,15.48,-3.7372734045194935,-18.497919031403708,68.28511113870607,-0.4778274321072533,-84.54404945904173,-0.2654139753376394,0.0085316569375841,0.0114665057332528,0.5842535088951762,0.9103311768159994,-0.0311560913267244,747.0,-33.464,-43.45750353249404,3.5037370595608373,0,0,0,0.1671231604846571
53,(주)광무,029480,2018,28.9,164.99,8.14,제조업,-4.7,-51.67,-18.01,22.99,1.25,1.41,2.74,2.15,1.3,0.81,122.0,13.8,8.654714304140333,7.12130356065178,-20.83087367178276,-1.7926841905288249,-767.5,-0.4428812605514913,-0.0466024198086662,-0.0574214517876489,1.1509663250896105,0.5409745591235228,-0.0955965109735509,-567.5,2485.82,-44.68091783443808,-0.7775514626218851,0,0,0,0.1645070422535211
54,(주)구영테크,053270,2012,58.83,339.29,-30.55,제조업,4.82,4.49,1.05,13.82,3.39,24.23,1.92,4.25,1.31,1.0,216.0,73.11,5.364076748921746,5.38246117214135,0.1474080746867578,7.822253146095229,45.144407830975,0.1261331695240222,0.0731619540465243,0.0756857030984215,6.721812355615172,0.114903668956274,0.0465801703865031,6323.5,6925.010999999999,-50.74823448956356,4.991892880755381,0,0,0,0.0652035766324965
